14,60,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ25,,CMJ26,,CMJ43,,CMJ65,,CMJ68,,CMJ77,,CMJ116,,CMJ123,,CMJ134,,CMJ206,,CMJ214,,CMJ230,,CMJ231,,CMJ241,,,x,y
ZGA42,ZA,278,278,421,427,317,335,364,364,351,357,342,342,233,242,217,223,224,224,409,409,345,372,173,182,383,392,350,359,,44,20
ZGA43,ZA,278,280,423,423,332,335,364,364,351,357,339,348,242,242,217,250,221,221,409,409,345,372,173,182,392,392,350,356,,31,25
ZGA44,ZA,278,282,421,427,335,335,364,379,351,357,339,342,233,248,217,223,224,224,403,409,345,372,182,182,392,392,350,353,,73.5,1.2
ZGA45,ZA,308,308,423,423,335,335,364,364,357,357,342,342,233,248,217,250,221,224,403,409,345,372,170,185,392,392,350,350,,71,1.2
ZGA46,ZA,270,270,0,0,335,335,0,0,357,363,342,348,233,242,250,250,215,224,403,409,345,372,170,170,392,398,350,359,,68,2
ZGA47,ZA,278,278,419,430,335,335,364,364,345,357,342,342,242,248,208,220,215,215,403,409,345,351,182,185,389,392,350,359,,66.5,3
ZGA48,ZA,278,278,419,427,317,335,364,364,357,357,339,342,242,248,217,220,215,221,403,403,345,372,170,185,392,398,359,362,,54,3
ZGA49,ZA,278,278,421,421,335,335,364,364,351,357,342,342,242,248,217,217,215,221,400,409,345,372,170,182,392,392,350,350,,52,10
ZGA50,ZA,278,278,421,433,335,335,364,364,357,357,342,348,233,242,208,217,221,221,409,409,345,372,170,170,392,392,350,359,,62,9
ZGA51,ZA,278,278,423,423,335,335,364,364,363,369,342,348,233,242,208,250,221,224,400,409,345,372,170,182,392,392,350,359,,62,9
ZGA52,ZA,0,0,0,0,335,335,0,0,357,357,342,342,242,242,208,250,215,221,400,409,345,372,170,182,389,392,350,350,,58.5,11.5
ZGA53,ZA,278,280,421,427,335,335,364,364,357,357,342,354,233,242,217,220,0,0,403,409,345,372,170,185,392,392,359,359,,60.5,12.5
ZGA54,ZA,278,282,423,423,335,335,364,364,354,357,342,345,233,233,250,250,215,221,403,403,345,372,182,185,383,392,350,353,,69,4
ZGA55,ZA,278,278,423,423,335,335,364,364,357,357,339,342,233,242,208,241,215,221,403,403,345,351,170,170,383,392,350,359,,69,4
ZGA56,ZA,278,278,421,427,335,335,364,364,351,351,342,348,242,242,205,208,221,224,409,409,345,372,170,170,392,392,350,350,,69,7
ZGA57,ZA,278,280,421,433,335,335,364,364,351,357,342,342,233,233,217,223,224,224,403,409,345,354,182,182,392,401,350,350,,61,18
ZGA58,ZA,278,278,423,423,335,335,364,364,357,357,339,339,233,242,223,250,221,224,403,409,345,372,170,173,392,392,350,350,,57,18
ZGA59,ZA,278,278,419,427,335,338,364,364,357,357,342,348,233,233,208,250,221,221,400,409,345,372,182,182,383,392,350,350,,54,21
ZGA60,ZA,282,282,419,419,335,338,364,364,357,363,345,348,233,248,208,208,221,221,400,400,345,372,182,182,383,392,350,350,,99.5,10
