1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGA1,ZGA2,ZGA3,ZGA4,ZGA5,ZGA6,ZGA7,ZGA8,ZGA9,ZGA10,ZGA11,ZGA12,ZGA13,ZGA14,ZGA15,ZGA16,ZGA17,ZGA18,ZGA19,ZGA20,ZGA21,ZGA22,ZGA23,ZGA24,ZGA25,ZGA26,ZGA27,ZGA28,ZGA29,ZGA30,ZGA31,ZGA32,ZGA33,ZGA34,ZGA35,ZGA36,ZGA37,ZGA38,ZGA39,ZGA40,ZGA41,ZGA42,ZGA43,ZGA44,ZGA45,ZGA46,ZGA47,ZGA48,ZGA49,ZGA50,ZGA51,ZGA52,ZGA53,ZGA54,ZGA55,ZGA56,ZGA57,ZGA58,ZGA59,ZGA60,
39.336,37.935,32.360,22.809,37.503,35.850,39.584,35.430,35.430,35.430,20.809,22.804,28.636,38.626,9.487,9.487,9.487,9.487,11.045,10.000,11.045,14.318,8.062,6.021,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA26
39.336,37.935,32.360,22.809,37.503,35.850,39.584,35.430,35.430,35.430,20.809,22.804,28.636,38.626,9.487,9.487,9.487,9.487,11.045,10.000,11.045,14.318,8.062,6.021,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA27
38.928,37.521,32.018,22.006,37.530,35.800,39.911,35.795,35.795,35.795,22.023,24.083,29.530,39.395,9.055,9.055,9.055,9.055,11.045,10.198,11.402,14.866,9.220,7.500,2.000,2.000,2.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA28
37.773,36.366,30.899,20.718,36.586,34.817,39.134,35.046,35.046,35.046,21.932,24.042,29.155,38.910,8.000,8.000,8.000,8.000,10.198,9.487,10.770,14.318,9.220,7.826,3.162,3.162,3.162,1.414,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA29
42.438,41.033,35.714,24.910,41.800,39.962,44.578,40.522,40.522,40.522,27.336,29.398,34.731,44.500,13.238,13.238,13.238,13.238,15.660,15.042,16.348,19.906,14.534,12.748,6.801,6.801,6.801,5.315,5.590,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA30
41.801,40.404,35.241,24.067,41.717,39.802,44.844,40.865,40.865,40.865,28.780,30.905,35.753,45.311,13.538,13.538,13.538,13.538,16.189,15.795,17.172,20.777,16.096,14.589,8.916,8.916,8.916,7.120,6.877,2.746,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA31
36.324,34.924,29.717,18.668,36.184,34.261,39.406,35.468,35.468,35.468,24.602,26.800,30.923,40.227,8.322,8.322,8.322,8.322,11.102,10.966,12.379,15.945,12.540,11.769,7.762,7.762,7.762,5.852,4.610,6.325,5.544,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA32
44.219,42.814,37.271,27.391,42.503,40.844,44.541,40.376,40.376,40.376,25.060,26.926,33.242,43.324,14.318,14.318,14.318,14.318,16.031,15.000,16.031,19.235,12.649,10.308,5.000,5.000,5.000,5.385,6.708,5.590,8.336,10.259,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA33
48.036,46.657,40.987,32.330,45.128,43.716,46.224,42.027,42.027,42.027,24.515,25.962,33.377,43.566,18.868,18.868,18.868,18.868,19.698,18.385,18.974,21.378,14.318,11.885,9.899,9.899,9.899,11.402,12.806,12.855,15.598,17.066,7.280,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA34
48.036,46.657,40.987,32.330,45.128,43.716,46.224,42.027,42.027,42.027,24.515,25.962,33.377,43.566,18.868,18.868,18.868,18.868,19.698,18.385,18.974,21.378,14.318,11.885,9.899,9.899,9.899,11.402,12.806,12.855,15.598,17.066,7.280,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA35
50.040,48.677,42.992,34.817,46.696,45.388,47.414,43.235,43.235,43.235,25.080,26.306,34.059,44.181,21.401,21.401,21.401,21.401,21.954,20.591,21.024,23.087,16.155,13.865,12.806,12.806,12.806,14.422,15.811,16.008,18.748,20.156,10.440,3.162,3.162,0.000,,,,,,,,,,,,,,,,,,,,,,,,,ZGA36
50.040,48.677,42.992,34.817,46.696,45.388,47.414,43.235,43.235,43.235,25.080,26.306,34.059,44.181,21.401,21.401,21.401,21.401,21.954,20.591,21.024,23.087,16.155,13.865,12.806,12.806,12.806,14.422,15.811,16.008,18.748,20.156,10.440,3.162,3.162,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,ZGA37
50.040,48.677,42.992,34.817,46.696,45.388,47.414,43.235,43.235,43.235,25.080,26.306,34.059,44.181,21.401,21.401,21.401,21.401,21.954,20.591,21.024,23.087,16.155,13.865,12.806,12.806,12.806,14.422,15.811,16.008,18.748,20.156,10.440,3.162,3.162,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,ZGA38
46.326,44.996,39.324,32.191,42.385,41.215,42.698,38.552,38.552,38.552,20.000,21.095,29.000,39.051,19.209,19.209,19.209,19.209,19.105,17.692,17.804,19.235,12.806,10.966,12.369,12.369,12.369,14.318,15.524,17.529,20.206,20.131,12.166,6.403,6.403,5.385,5.385,5.385,0.000,,,,,,,,,,,,,,,,,,,,,,ZGA39
46.326,44.996,39.324,32.191,42.385,41.215,42.698,38.552,38.552,38.552,20.000,21.095,29.000,39.051,19.209,19.209,19.209,19.209,19.105,17.692,17.804,19.235,12.806,10.966,12.369,12.369,12.369,14.318,15.524,17.529,20.206,20.131,12.166,6.403,6.403,5.385,5.385,5.385,0.000,0.000,,,,,,,,,,,,,,,,,,,,,ZGA40
46.326,44.996,39.324,32.191,42.385,41.215,42.698,38.552,38.552,38.552,20.000,21.095,29.000,39.051,19.209,19.209,19.209,19.209,19.105,17.692,17.804,19.235,12.806,10.966,12.369,12.369,12.369,14.318,15.524,17.529,20.206,20.131,12.166,6.403,6.403,5.385,5.385,5.385,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,ZGA41
45.455,44.107,38.423,30.859,41.839,40.584,42.439,38.266,38.266,38.266,20.100,21.378,29.069,39.205,17.692,17.692,17.692,17.692,17.804,16.401,16.643,18.385,11.662,9.605,10.440,10.440,10.440,12.369,13.601,15.532,18.207,18.200,10.198,5.000,5.000,5.000,5.000,5.000,2.000,2.000,2.000,0.000,,,,,,,,,,,,,,,,,,,ZGA42
37.101,35.917,30.547,27.115,31.567,30.842,30.707,26.744,26.744,26.744,7.616,8.062,16.279,26.019,18.028,18.028,18.028,18.028,16.031,15.000,14.036,12.649,11.402,12.298,18.028,18.028,18.028,19.723,20.125,24.824,26.842,23.880,21.213,18.788,18.788,18.682,18.682,18.682,13.342,13.342,13.342,13.928,0.000,,,,,,,,,,,,,,,,,,ZGA43
70.793,69.400,64.241,53.014,70.490,68.648,73.112,68.998,68.998,68.998,53.693,55.408,62.088,72.195,41.903,41.903,41.903,41.903,44.194,43.401,44.590,47.974,41.522,39.152,33.670,33.670,33.670,33.204,33.998,28.690,29.006,34.524,28.874,29.998,29.998,30.882,30.882,30.882,36.096,36.096,36.096,34.981,48.710,0.000,,,,,,,,,,,,,,,,,ZGA44
68.293,66.900,61.743,50.514,68.008,66.161,70.662,66.554,66.554,66.554,51.397,53.140,59.738,69.827,39.429,39.429,39.429,39.429,41.735,40.957,42.155,45.555,39.152,36.798,31.264,31.264,31.264,30.761,31.538,26.209,26.507,32.026,26.504,27.904,27.904,28.939,28.939,28.939,34.083,34.083,34.083,32.900,46.545,2.500,0.000,,,,,,,,,,,,,,,,ZGA45
65.301,63.905,58.719,47.542,64.935,63.096,67.562,63.453,63.453,63.453,48.332,50.090,56.648,66.731,36.346,36.346,36.346,36.346,38.639,37.855,39.051,42.450,36.056,33.708,28.160,28.160,28.160,27.659,28.443,23.135,23.501,29.004,23.409,25.000,25.000,26.173,26.173,26.173,31.241,31.241,31.241,30.000,43.566,5.558,3.105,0.000,,,,,,,,,,,,,,,ZGA46
63.824,62.426,57.202,46.098,63.334,61.512,65.896,61.778,61.778,61.778,46.554,48.304,54.893,64.987,34.731,34.731,34.731,34.731,36.990,36.184,37.366,40.746,34.311,31.953,26.443,26.443,26.443,25.986,26.800,21.552,22.033,27.505,21.662,23.200,23.200,24.398,24.398,24.398,29.449,29.449,29.449,28.200,41.764,7.228,4.847,1.803,0.000,,,,,,,,,,,,,,ZGA47
51.332,49.932,44.703,33.634,50.917,49.066,53.676,49.601,49.601,49.601,35.511,37.443,43.382,53.310,22.361,22.361,22.361,22.361,24.739,24.042,25.298,28.792,22.825,20.670,14.765,14.765,14.765,13.928,14.560,9.124,9.575,15.008,10.630,15.232,15.232,17.720,17.720,17.720,21.471,21.471,21.471,19.723,31.828,19.583,17.095,14.036,12.500,0.000,,,,,,,,,,,,,ZGA48
50.108,48.702,43.192,33.049,48.503,46.839,50.500,46.328,46.328,46.328,30.463,32.202,38.897,49.041,20.224,20.224,20.224,20.224,22.023,21.000,22.023,25.179,18.439,16.008,11.000,11.000,11.000,11.180,12.369,8.902,11.113,15.008,6.000,8.062,8.062,10.440,10.440,10.440,14.422,14.422,14.422,12.806,25.807,23.231,20.939,17.889,16.101,7.280,0.000,,,,,,,,,,,,ZGA49
59.830,58.423,52.986,42.465,58.502,56.807,60.550,56.376,56.376,56.376,40.162,41.785,48.765,58.941,30.067,30.067,30.067,30.067,32.000,31.016,32.062,35.228,28.443,25.986,21.024,21.024,21.024,21.024,22.091,17.586,18.923,23.901,16.031,16.125,16.125,17.029,17.029,17.029,22.204,22.204,22.204,21.095,34.886,13.896,11.910,9.220,7.500,10.000,10.050,0.000,,,,,,,,,,,ZGA50
59.830,58.423,52.986,42.465,58.502,56.807,60.550,56.376,56.376,56.376,40.162,41.785,48.765,58.941,30.067,30.067,30.067,30.067,32.000,31.016,32.062,35.228,28.443,25.986,21.024,21.024,21.024,21.024,22.091,17.586,18.923,23.901,16.031,16.125,16.125,17.029,17.029,17.029,22.204,22.204,22.204,21.095,34.886,13.896,11.910,9.220,7.500,10.000,10.050,0.000,0.000,,,,,,,,,,ZGA51
56.772,55.367,49.846,39.702,55.036,53.408,56.841,52.652,52.652,52.652,36.062,37.636,44.749,54.941,26.879,26.879,26.879,26.879,28.609,27.541,28.504,31.536,24.627,22.142,17.564,17.564,17.564,17.847,19.039,15.207,17.032,21.477,12.590,11.853,11.853,12.748,12.748,12.748,17.903,17.903,17.903,16.808,30.635,18.196,16.197,13.435,11.673,9.618,6.671,4.301,4.301,0.000,,,,,,,,,ZGA52
58.926,57.521,51.985,41.908,57.079,55.475,58.777,54.583,54.583,54.583,37.716,39.224,46.481,56.679,29.026,29.026,29.026,29.026,30.700,29.606,30.537,33.504,26.542,24.047,19.660,19.660,19.660,20.012,21.225,17.443,19.248,23.712,14.714,13.285,13.285,13.730,13.730,13.730,19.039,19.039,19.039,18.125,32.039,17.225,15.425,12.903,11.236,11.511,8.860,3.808,3.808,2.236,0.000,,,,,,,,ZGA53
66.361,64.960,59.702,48.665,65.731,63.932,68.177,64.041,64.041,64.041,48.466,50.160,56.921,67.052,37.121,37.121,37.121,37.121,39.319,38.471,39.623,42.953,36.401,34.004,28.636,28.636,28.636,28.284,29.155,24.005,24.599,30.037,23.770,24.698,24.698,25.612,25.612,25.612,30.806,30.806,30.806,29.682,43.417,5.300,3.441,2.236,2.693,15.033,18.028,8.602,8.602,12.903,12.021,0.000,,,,,,,ZGA54
66.361,64.960,59.702,48.665,65.731,63.932,68.177,64.041,64.041,64.041,48.466,50.160,56.921,67.052,37.121,37.121,37.121,37.121,39.319,38.471,39.623,42.953,36.401,34.004,28.636,28.636,28.636,28.284,29.155,24.005,24.599,30.037,23.770,24.698,24.698,25.612,25.612,25.612,30.806,30.806,30.806,29.682,43.417,5.300,3.441,2.236,2.693,15.033,18.028,8.602,8.602,12.903,12.021,0.000,0.000,,,,,,ZGA55
66.564,65.159,59.803,49.003,65.548,63.809,67.735,63.571,63.571,63.571,47.434,49.041,56.045,66.219,37.000,37.000,37.000,37.000,39.051,38.118,39.205,42.426,35.693,33.245,28.160,28.160,28.160,28.018,29.000,24.130,25.046,30.336,23.195,23.259,23.259,23.854,23.854,23.854,29.155,29.155,29.155,28.178,42.048,7.341,6.135,5.099,4.717,15.524,17.263,7.280,7.280,11.424,10.124,3.000,3.000,0.000,,,,,ZGA56
60.721,59.328,53.695,44.320,58.125,56.671,59.253,55.057,55.057,55.057,37.216,38.471,46.174,56.321,31.016,31.016,31.016,31.016,32.280,31.048,31.780,34.366,27.295,24.824,21.541,21.541,21.541,22.361,23.707,20.934,23.123,26.912,17.000,13.038,13.038,12.166,12.166,12.166,17.464,17.464,17.464,17.117,30.806,20.940,19.551,17.464,15.977,16.553,12.042,9.055,9.055,6.964,5.523,16.125,16.125,13.601,0.000,,,,ZGA57
56.892,55.504,49.855,40.697,54.171,52.738,55.257,51.061,51.061,51.061,33.242,34.525,42.190,52.345,27.313,27.313,27.313,27.313,28.460,27.203,27.893,30.414,23.345,20.887,17.889,17.889,17.889,18.868,20.248,18.062,20.462,23.754,13.601,9.055,9.055,8.246,8.246,8.246,13.601,13.601,13.601,13.153,26.926,23.548,21.869,19.416,17.755,15.297,9.434,10.296,10.296,6.671,6.519,18.439,18.439,16.279,4.000,0.000,,,ZGA58
55.054,53.685,48.004,39.538,51.793,50.476,52.489,48.314,48.314,48.314,30.017,31.145,39.013,49.092,26.077,26.077,26.077,26.077,26.833,25.495,26.000,28.160,21.190,18.848,17.029,17.029,17.029,18.385,19.799,18.795,21.422,23.817,13.601,7.211,7.211,5.099,5.099,5.099,10.050,10.050,10.050,10.050,23.345,27.790,26.097,23.601,21.915,18.000,11.180,14.422,14.422,10.512,10.700,22.672,22.672,20.518,7.616,4.243,0.000,,ZGA59
97.211,95.805,90.434,79.630,96.001,94.319,97.855,93.662,93.662,93.662,76.448,77.770,85.348,95.531,67.567,67.567,67.567,67.567,69.507,68.500,69.507,72.562,65.622,63.127,58.500,58.500,58.500,58.534,59.576,54.777,55.608,60.963,53.500,51.974,51.974,51.481,51.481,51.481,56.782,56.782,56.782,56.394,70.123,27.449,29.828,32.500,33.734,46.035,47.500,37.513,37.513,41.027,39.080,31.085,31.085,30.647,39.322,43.246,46.811,0.000,ZGA60
