1,72,1,72,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,Pop1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA1,LTA2,LTA3,LTA4,LTA5,LTA6,LTA7,LTA8,LTA9,LTA10,LTA11,LTA12,LTA13,LTA14,LTA15,LTA16,LTA17,LTA18,LTA19,LTA20,LTA21,LTA22,LTA23,LTA24,LTA25,LTA26,LTA27,LTA28,LTA29,LTA30,LTA31,LTA32,LTA33,LTA34,LTA35,LTA36,LTA37,LTA38,LTA39,LTA40,LTA41,LTA42,LTA43,LTA44,LTA45,LTA46,LTA47,LTA48,LTA49,LTA50,LTA51,LTA52,LTA53,LTA54,LTA55,LTA56,LTA57,LTA58,LTA59,LTA60,LTA61,LTA62,LTA63,LTA64,LTA65,LTA66,LTA67,LTA68,LTA69,LTA70,LTA71,LTA72,
18,14,25,13,15,18,22,16,14,18,15,18,15,17,20,27,15,18,15,18,16,16,15,14,15,16,17,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA29
14,16,20,14,16,16,13,22,20,21,8,25,14,13,16,23,12,14,18,19,14,11,17,22,16,12,16,13,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA30
12,13,19,13,15,13,18,19,15,17,15,19,8,15,16,20,8,14,12,16,12,7,18,16,17,12,13,17,16,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA31
14,13,18,21,16,14,16,22,18,22,17,22,13,11,13,20,13,14,15,18,11,9,19,24,20,15,15,16,25,12,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA32
15,11,17,8,11,15,15,20,13,17,9,19,11,16,19,25,9,18,14,15,16,12,12,12,10,14,13,14,13,14,13,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA33
11,12,19,13,11,16,15,19,16,19,13,18,9,15,17,21,12,13,16,17,18,10,13,14,16,11,10,17,20,14,9,15,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA34
15,12,19,12,13,9,18,14,15,14,13,15,9,12,14,20,10,11,11,13,8,8,15,18,14,12,11,14,17,16,10,10,13,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA35
14,11,22,14,9,14,14,15,13,16,13,14,11,11,15,22,10,12,12,13,9,10,12,15,14,13,10,12,18,17,11,9,12,13,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA36
16,14,21,12,11,11,17,13,16,15,13,13,11,12,13,21,13,10,13,18,12,15,10,16,14,14,10,14,18,19,15,17,16,14,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA37
15,14,19,9,10,14,14,17,8,15,10,17,11,13,17,23,11,9,14,17,12,14,14,12,13,9,14,10,12,15,14,19,11,13,15,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA38
16,9,21,9,13,11,14,11,12,13,8,12,10,9,14,22,10,12,12,10,8,10,7,16,11,12,11,13,13,12,14,14,13,17,9,9,10,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA39
10,10,21,15,9,19,15,18,15,15,15,19,11,13,17,26,8,17,11,14,11,10,16,18,17,17,10,16,17,16,12,13,10,14,12,11,17,16,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA40
19,14,21,12,14,13,15,18,18,18,9,17,13,13,17,22,10,15,18,16,13,10,12,11,11,13,15,15,11,13,12,15,11,15,12,11,16,13,9,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA41
7,11,15,11,10,16,12,12,12,14,11,14,9,9,14,22,7,10,11,16,8,10,11,15,12,13,7,13,16,15,12,16,12,10,13,13,9,11,10,10,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA42
15,14,26,15,14,24,14,22,21,12,15,21,18,16,19,29,13,16,19,14,16,17,17,19,16,20,13,16,24,19,20,23,18,16,22,21,15,18,18,15,21,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA43
9,9,19,10,8,16,10,12,9,11,10,11,7,11,15,23,8,11,9,13,10,8,10,12,14,14,6,11,17,14,10,14,12,10,12,12,13,10,11,9,15,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA44
11,10,20,12,7,17,10,12,11,11,12,11,9,10,14,22,8,11,11,13,12,9,12,12,14,15,7,11,17,15,12,15,13,12,12,12,14,11,12,9,16,9,14,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA45
14,15,19,13,11,15,13,21,12,19,14,22,12,16,19,23,11,12,17,16,16,8,18,16,12,10,14,13,18,10,12,13,11,10,16,14,18,10,13,13,13,14,17,11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA46
18,19,24,16,12,19,15,19,16,18,13,19,16,16,18,23,15,14,21,22,20,16,17,8,15,17,16,17,10,18,16,25,14,13,21,19,19,9,18,18,13,15,21,15,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,LTA47
11,10,19,12,11,13,9,17,9,16,7,17,10,9,12,20,8,11,12,14,9,8,12,15,13,12,11,10,17,9,11,8,9,12,12,8,16,9,9,10,12,11,16,8,10,8,14,0,,,,,,,,,,,,,,,,,,,,,,,,,LTA48
11,10,21,9,8,16,10,16,11,15,9,15,12,10,14,22,8,11,15,13,11,10,8,13,9,13,8,11,15,11,15,16,9,9,16,13,12,9,10,12,14,7,10,8,10,8,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,LTA49
14,10,16,12,10,9,14,16,16,17,9,17,11,12,12,21,10,14,14,16,12,12,10,16,16,12,10,11,16,13,13,11,11,13,11,10,9,12,10,13,12,13,18,12,13,14,17,10,11,0,,,,,,,,,,,,,,,,,,,,,,,LTA50
10,10,17,9,14,15,16,16,8,13,14,14,11,12,13,19,9,15,10,14,10,10,15,16,12,13,12,15,15,16,8,13,10,11,12,11,14,11,12,11,16,8,16,10,12,13,18,9,10,14,0,,,,,,,,,,,,,,,,,,,,,,LTA51
13,11,18,15,11,14,17,17,17,19,15,17,12,12,12,18,10,18,16,14,15,11,14,14,15,15,11,14,17,18,14,14,13,12,10,11,15,18,14,12,14,14,20,13,12,17,17,13,14,11,14,0,,,,,,,,,,,,,,,,,,,,,LTA52
13,14,21,13,13,17,10,16,14,16,10,14,14,10,13,20,9,13,16,16,11,12,13,14,11,16,11,11,22,14,14,13,15,14,15,11,14,15,11,15,12,9,15,10,12,14,18,7,10,15,11,13,0,,,,,,,,,,,,,,,,,,,,LTA53
24,22,27,23,24,21,23,23,23,23,22,21,20,20,19,24,22,21,23,25,24,21,22,24,25,24,21,24,30,26,21,23,25,21,22,22,19,23,21,25,25,20,28,19,20,25,26,20,22,20,20,21,18,0,,,,,,,,,,,,,,,,,,,LTA54
13,10,21,9,15,15,15,12,9,11,12,12,9,15,17,23,9,13,11,12,11,6,14,12,12,14,11,15,15,16,8,16,13,11,12,13,14,11,10,12,14,10,16,6,8,10,15,10,11,15,8,14,12,20,0,,,,,,,,,,,,,,,,,,LTA55
10,12,17,10,11,16,12,15,10,13,9,15,10,13,16,23,5,12,11,15,8,9,14,10,11,13,11,8,16,14,9,14,10,13,11,10,13,9,11,10,11,9,12,7,9,12,14,7,10,12,8,12,8,21,7,0,,,,,,,,,,,,,,,,,LTA56
11,6,19,8,9,14,11,17,13,13,8,16,8,10,14,24,7,13,10,12,7,9,11,16,14,12,8,11,14,11,10,11,8,12,9,8,12,9,6,6,13,8,14,7,8,10,16,6,8,8,8,13,13,22,9,8,0,,,,,,,,,,,,,,,,LTA57
14,11,22,17,10,16,13,15,14,13,14,14,12,9,12,21,11,13,13,13,9,12,10,16,17,16,10,12,17,15,13,12,16,17,12,10,13,13,9,10,15,12,16,11,11,16,18,10,11,9,12,15,14,23,15,11,8,0,,,,,,,,,,,,,,,LTA58
11,12,20,10,12,15,15,18,12,13,12,16,9,11,15,22,7,10,9,17,7,8,15,16,14,11,12,12,15,12,9,13,12,12,12,13,12,9,12,11,15,8,14,9,11,11,15,9,8,12,7,16,13,22,9,8,7,11,0,,,,,,,,,,,,,,LTA59
12,11,20,15,11,16,13,14,14,14,12,14,13,11,14,22,10,11,10,14,8,9,14,16,12,15,9,14,15,15,12,11,12,15,9,8,13,16,10,9,12,9,15,11,11,15,18,10,12,12,10,13,12,23,13,9,8,9,10,0,,,,,,,,,,,,,LTA60
11,14,14,17,14,10,16,13,17,19,17,19,14,11,10,17,12,13,17,16,14,10,19,20,15,13,14,13,19,16,14,12,19,17,12,14,17,17,13,15,15,14,21,14,13,14,19,13,16,12,15,9,13,22,14,13,15,15,16,14,0,,,,,,,,,,,,LTA61
19,13,25,11,12,11,15,11,10,13,10,12,11,13,17,23,15,10,12,13,16,11,11,16,13,11,11,15,13,17,17,21,14,15,12,14,13,10,9,17,15,14,20,11,11,13,14,12,11,12,16,16,17,23,12,15,12,14,14,14,16,0,,,,,,,,,,,LTA62
15,13,22,13,9,20,13,17,10,14,16,12,13,10,14,23,12,13,12,16,11,15,12,12,13,16,12,10,18,19,18,17,15,17,16,12,13,10,13,15,18,12,14,9,9,15,17,11,10,14,11,15,12,23,13,10,11,11,10,13,17,14,0,,,,,,,,,,LTA63
16,16,25,16,14,19,15,19,20,16,14,17,15,13,15,25,17,12,20,22,16,18,18,18,14,11,14,12,20,17,18,23,20,14,18,21,14,15,18,20,22,12,15,12,12,18,18,19,12,16,16,19,19,26,17,17,15,16,13,16,19,13,15,0,,,,,,,,,LTA64
15,13,20,14,13,16,16,10,11,16,15,11,12,12,17,22,10,15,15,13,15,8,9,11,12,17,12,14,17,21,15,18,14,14,14,11,15,15,12,17,11,13,19,11,12,15,17,12,11,14,14,11,11,22,10,10,16,15,15,15,13,12,11,22,0,,,,,,,,LTA65
17,11,21,11,12,8,18,13,16,13,13,13,12,15,14,21,11,15,12,13,12,10,12,16,14,16,9,16,16,20,13,16,12,16,6,9,10,16,10,12,14,13,20,12,12,18,20,14,14,8,13,9,17,23,12,12,9,12,13,10,11,12,16,19,13,0,,,,,,,LTA66
13,17,20,14,13,19,15,21,12,17,15,19,12,14,16,24,10,15,18,22,12,14,18,11,15,16,15,12,19,18,13,19,14,14,17,16,16,8,18,15,17,11,16,10,12,14,13,12,11,16,10,18,14,24,10,7,13,15,8,16,19,19,11,15,15,19,0,,,,,,LTA67
25,23,25,24,26,23,28,27,23,27,25,26,21,24,23,18,22,26,23,27,27,22,26,26,25,23,25,27,29,25,23,26,23,22,23,25,22,24,24,24,28,22,31,22,22,25,27,23,24,21,21,21,25,23,21,23,23,28,23,26,24,24,25,28,24,24,25,0,,,,,LTA68
18,15,16,13,17,16,19,19,14,18,16,18,14,16,16,22,13,17,16,19,17,15,17,16,12,14,18,14,21,19,16,17,13,15,14,16,12,14,16,18,19,14,20,14,15,16,21,15,14,13,12,13,16,21,12,13,15,20,13,19,17,17,13,18,14,15,14,14,0,,,,LTA69
11,12,18,12,13,13,15,13,14,16,12,17,12,15,16,22,12,11,9,17,14,11,14,18,17,12,11,16,15,17,10,15,11,10,12,11,12,12,14,13,15,10,16,11,13,15,17,11,12,11,9,16,16,22,12,11,10,13,11,10,16,13,16,17,15,11,16,24,16,0,,,LTA70
10,10,19,13,12,14,11,14,16,16,12,14,10,9,11,18,10,11,12,15,11,7,12,17,15,13,9,14,19,11,9,10,16,9,13,12,12,15,11,13,12,9,13,8,10,11,19,10,10,12,10,14,10,20,9,11,10,11,9,11,12,15,14,14,12,14,14,24,16,10,0,,LTA71
14,10,24,8,12,15,18,15,12,12,12,12,8,17,20,24,8,17,10,13,12,8,11,10,12,14,10,16,9,18,9,18,9,13,10,12,15,14,11,11,9,12,18,9,11,14,14,12,12,13,10,11,13,23,8,8,10,14,10,11,15,12,14,19,10,9,15,24,16,12,13,0,LTA72
