,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,0.0385546892252222,0.0411931039498594,-0.0360134787768463
,,,,,,,,,,,,,,,,,,,,,10,-0.0160334362596387,0.0222637673840179,-0.0204732821161049
,,,,,,,,,,,,,,,,,,,,,15,0.00772821967628056,0.0134441988586457,-0.0190568027939437
,,,,,,,,,,,,,,,,,,,,,20,-0.00437156219707734,0.0149946325446041,-0.0177095937311658
,,,,,,,,,,,,,,,,,,,,,25,-0.0119415079880252,0.0165250315377727,-0.0144010362001528
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,,,30,0.0010666988060192,0.0223848349711748,-0.0265911897619953
r,0.0385546892252222,-0.0160334362596387,0.00772821967628056,-0.00437156219707734,-0.0119415079880252,0.0010666988060192,0.00588437663573495,0.0123364423995365,-0.00273949526435592,-0.0143583886809251,-0.00518429518615871,0.00789203183457105,-0.00905273911242605,0.0487176333346429,-0.0229725304075193,0.00200620633421519,0.00285523166078842,-0.0044631194902835,,,35,0.00588437663573495,0.016441662096502,-0.0258826764673029
U,0.0411931039498594,0.0222637673840179,0.0134441988586457,0.0149946325446041,0.0165250315377727,0.0223848349711748,0.016441662096502,0.0219440291730998,0.0288480857719309,0.0226017886786122,0.0268594777888957,0.031651216056895,0.0286854746155126,0.0393088629363547,0.040487234761569,0.0795705455781142,0.08852157925688,0.129241978342415,,,40,0.0123364423995365,0.0219440291730998,-0.0282252647535069
L,-0.0360134787768463,-0.0204732821161049,-0.0190568027939437,-0.0177095937311658,-0.0144010362001528,-0.0265911897619953,-0.0258826764673029,-0.0282252647535069,-0.021858942359163,-0.0253644473769245,-0.0332543038970648,-0.0259436386166448,-0.0352160598119813,-0.0468241936713993,-0.0374658776459639,-0.0755372245928501,-0.0706507353042216,-0.153911843555532,,,45,-0.00273949526435592,0.0288480857719309,-0.021858942359163
,,,,,,,,,,,,,,,,,,,,,50,-0.0143583886809251,0.0226017886786122,-0.0253644473769245
,,,,,,,,,,,,,,,,,,,,,55,-0.00518429518615871,0.0268594777888957,-0.0332543038970648
,,,,,,,,,,,,,,,,,,,,,60,0.00789203183457105,0.031651216056895,-0.0259436386166448
,,,,,,,,,,,,,,,,,,,,,65,-0.00905273911242605,0.0286854746155126,-0.0352160598119813
,,,,,,,,,,,,,,,,,,,,,70,0.0487176333346429,0.0393088629363547,-0.0468241936713993
,,,,,,,,,,,,,,,,,,,,,75,-0.0229725304075193,0.040487234761569,-0.0374658776459639
,,,,,,,,,,,,,,,,,,,,,80,0.00200620633421519,0.0795705455781142,-0.0755372245928501
,,,,,,,,,,,,,,,,,,,,,85,0.00285523166078842,0.08852157925688,-0.0706507353042216
,,,,,,,,,,,,,,,,,,,,,90,-0.0044631194902835,0.129241978342415,-0.153911843555532
