14,72,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTA44,LT,274,274,401,405,335,335,370,370,351,357,342,342,217,232,217,226,214,223,409,409,345,372,164,176,386,392,350,359,,51,21
LTA45,LT,274,274,401,405,335,335,370,370,351,357,342,342,217,211,217,226,214,223,409,409,372,399,164,176,386,392,350,359,,51,21
LTA46,LT,274,276,405,405,335,335,370,370,357,357,342,342,217,226,226,226,223,223,403,403,345,372,164,176,383,392,359,350,,51,21
LTA47,LT,274,274,403,405,335,335,370,370,351,357,348,348,217,211,226,253,223,223,400,403,372,378,167,179,389,392,350,359,,51,21
LTA48,LT,274,276,405,405,335,335,370,370,351,357,342,342,217,232,226,229,220,223,403,409,345,372,164,179,392,392,350,353,,49.0,15
LTA49,LT,274,274,403,405,335,335,370,370,357,357,342,342,217,232,226,253,223,223,403,409,345,372,173,176,392,392,350,353,,72.0,5
LTA50,LT,274,280,403,405,335,335,370,370,357,357,342,342,223,229,214,226,202,211,400,409,345,372,164,179,392,392,350,350,,83.0,18
LTA51,LT,274,274,405,405,335,338,370,370,357,357,339,342,226,232,217,229,220,223,406,409,345,372,164,176,392,413,350,353,,80.0,15
LTA52,LT,274,282,405,407,335,335,370,370,357,357,342,342,214,211,214,217,211,217,400,409,372,378,164,167,392,392,353,359,,66.0,14
LTA53,LT,272,276,403,405,335,335,370,370,351,357,342,342,217,232,217,229,220,223,406,409,345,372,170,176,392,392,353,359,,66.0,14
LTA54,LT,274,282,403,405,335,335,370,370,351,357,342,342,0,0,217,229,202,202,406,409,345,372,0,0,0,0,0,0,,66.0,14
LTA55,LT,274,274,405,405,335,335,370,370,351,357,333,342,226,232,217,217,214,223,403,409,345,372,164,176,383,392,350,359,,66.0,14
LTA56,LT,274,278,405,405,335,335,370,370,351,357,339,342,217,232,217,220,220,223,400,409,345,372,164,176,392,392,350,359,,91.0,13
