1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA1,LTA2,LTA3,LTA4,LTA5,LTA6,LTA7,LTA8,LTA9,LTA10,LTA11,LTA12,LTA13,LTA14,LTA15,LTA16,LTA17,LTA18,LTA19,LTA20,LTA21,LTA22,LTA23,LTA24,LTA25,LTA26,LTA27,LTA28,LTA29,LTA30,LTA31,LTA32,LTA33,LTA34,LTA35,LTA36,LTA37,LTA38,LTA39,LTA40,LTA41,LTA42,LTA43,LTA44,LTA45,LTA46,LTA47,LTA48,LTA49,LTA50,LTA51,LTA52,LTA53,LTA54,LTA55,LTA56,LTA57,LTA58,LTA59,LTA60,LTA61,LTA62,LTA63,LTA64,LTA65,LTA66,LTA67,LTA68,LTA69,LTA70,LTA71,LTA72,
31.064,30.265,26.926,25.942,22.204,21.541,19.849,17.088,24.187,15.811,12.042,23.345,11.402,15.652,15.652,15.652,26.249,32.311,27.459,9.055,7.616,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA24
31.064,30.265,26.926,25.942,22.204,21.541,19.849,17.088,24.187,15.811,12.042,23.345,11.402,15.652,15.652,15.652,26.249,32.311,27.459,9.055,7.616,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA25
31.064,30.265,26.926,25.942,22.204,21.541,19.849,17.088,24.187,15.811,12.042,23.345,11.402,15.652,15.652,15.652,26.249,32.311,27.459,9.055,7.616,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA26
27.857,26.249,21.587,18.000,19.235,15.524,10.050,12.530,16.000,8.544,5.657,12.649,10.817,2.828,2.828,2.828,15.811,25.000,14.866,13.601,5.385,13.000,13.000,13.000,13.000,13.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA27
70.859,69.584,65.276,62.008,61.814,59.211,54.000,55.444,60.008,52.154,48.260,56.080,50.990,46.011,46.011,46.011,59.135,69.007,54.918,50.000,42.426,41.110,41.110,41.110,41.110,41.110,44.011,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA28
37.014,36.014,32.249,30.364,28.000,26.476,23.259,22.204,28.460,19.925,15.811,26.420,17.000,17.029,17.029,17.029,29.530,37.108,29.000,15.524,9.849,6.708,6.708,6.708,6.708,6.708,14.213,34.482,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA29
31.623,30.083,25.495,22.000,22.847,19.416,14.036,16.155,20.000,12.369,8.944,16.492,13.454,6.325,6.325,6.325,19.647,29.000,17.804,15.264,5.385,12.042,12.042,12.042,12.042,12.042,4.000,40.012,11.402,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA30
72.173,71.344,67.742,65.734,63.285,61.984,58.241,57.706,63.789,55.317,51.196,61.033,52.345,50.922,50.922,50.922,64.195,72.567,61.741,50.040,45.122,41.110,41.110,41.110,41.110,41.110,48.384,16.125,35.511,44.598,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA31
36.125,35.355,32.016,30.871,27.295,26.571,24.413,22.136,29.069,20.591,16.643,27.803,16.492,19.209,19.209,19.209,30.806,37.336,31.241,14.000,11.314,5.099,5.099,5.099,5.099,5.099,16.401,36.770,4.123,14.318,36.056,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA32
36.249,34.540,29.732,25.495,27.785,23.770,17.464,21.095,23.537,17.000,14.213,19.026,19.105,9.487,9.487,9.487,22.000,32.388,18.028,21.095,11.180,17.117,17.117,17.117,17.117,17.117,8.602,37.216,14.560,5.831,43.829,18.248,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA33
40.200,39.051,35.014,32.558,31.145,29.069,25.000,25.000,30.594,22.204,18.111,27.857,20.224,17.889,17.889,17.889,31.016,39.459,29.411,19.313,12.042,10.817,10.817,10.817,10.817,10.817,15.232,30.806,4.243,11.662,33.242,8.062,13.038,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA34
47.297,45.891,41.437,38.013,38.328,35.355,30.000,31.780,36.014,28.284,24.515,32.140,27.857,22.023,22.023,22.023,35.228,45.011,31.623,27.785,18.974,19.849,19.849,19.849,19.849,19.849,20.025,24.000,13.454,16.031,30.529,17.205,13.601,9.220,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA35
47.297,45.891,41.437,38.013,38.328,35.355,30.000,31.780,36.014,28.284,24.515,32.140,27.857,22.023,22.023,22.023,35.228,45.011,31.623,27.785,18.974,19.849,19.849,19.849,19.849,19.849,20.025,24.000,13.454,16.031,30.529,17.205,13.601,9.220,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA36
47.297,45.891,41.437,38.013,38.328,35.355,30.000,31.780,36.014,28.284,24.515,32.140,27.857,22.023,22.023,22.023,35.228,45.011,31.623,27.785,18.974,19.849,19.849,19.849,19.849,19.849,20.025,24.000,13.454,16.031,30.529,17.205,13.601,9.220,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA37
36.715,34.886,29.967,25.298,28.601,24.187,17.464,22.023,23.409,17.804,15.620,18.439,20.809,10.000,10.000,10.000,21.213,32.016,16.279,23.259,13.601,20.025,20.025,20.025,20.025,20.025,10.000,38.639,17.720,8.246,46.141,21.378,3.162,16.125,15.652,15.652,15.652,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA38
45.222,43.681,39.051,35.228,36.401,32.985,27.166,29.732,33.242,25.962,22.472,29.000,26.420,19.105,19.105,19.105,32.016,42.190,27.893,27.019,17.493,20.000,20.000,20.000,20.000,20.000,17.464,27.166,14.318,13.601,34.670,18.385,10.050,10.440,4.243,4.243,4.243,11.705,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA39
57.079,56.223,52.612,50.695,48.166,46.872,43.324,42.579,48.765,40.262,36.139,46.239,37.216,36.249,36.249,36.249,49.396,57.489,47.508,35.000,30.083,26.019,26.019,26.019,26.019,26.019,33.615,19.105,20.396,29.967,15.133,21.000,30.000,18.385,17.804,17.804,17.804,32.650,22.023,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA40
57.079,56.223,52.612,50.695,48.166,46.872,43.324,42.579,48.765,40.262,36.139,46.239,37.216,36.249,36.249,36.249,49.396,57.489,47.508,35.000,30.083,26.019,26.019,26.019,26.019,26.019,33.615,19.105,20.396,29.967,15.133,21.000,30.000,18.385,17.804,17.804,17.804,32.650,22.023,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA41
57.079,56.223,52.612,50.695,48.166,46.872,43.324,42.579,48.765,40.262,36.139,46.239,37.216,36.249,36.249,36.249,49.396,57.489,47.508,35.000,30.083,26.019,26.019,26.019,26.019,26.019,33.615,19.105,20.396,29.967,15.133,21.000,30.000,18.385,17.804,17.804,17.804,32.650,22.023,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA42
56.515,55.109,50.636,47.096,47.539,44.553,39.051,41.000,45.100,37.483,33.734,41.012,37.000,31.016,31.016,31.016,44.045,54.083,39.812,36.674,28.160,28.302,28.302,28.302,28.302,28.302,29.155,15.133,21.633,25.179,24.759,24.839,22.091,17.493,9.220,9.220,9.220,23.537,12.042,16.125,16.125,16.125,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA43
45.011,44.011,40.200,38.079,36.000,34.366,30.676,30.150,36.139,27.659,23.537,33.615,25.000,23.707,23.707,23.707,36.770,44.911,35.228,23.345,17.464,14.318,14.318,14.318,14.318,14.318,21.024,26.926,8.000,17.493,27.659,9.849,18.439,5.831,10.050,10.050,10.050,21.401,13.153,12.649,12.649,12.649,15.620,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA44
45.011,44.011,40.200,38.079,36.000,34.366,30.676,30.150,36.139,27.659,23.537,33.615,25.000,23.707,23.707,23.707,36.770,44.911,35.228,23.345,17.464,14.318,14.318,14.318,14.318,14.318,21.024,26.926,8.000,17.493,27.659,9.849,18.439,5.831,10.050,10.050,10.050,21.401,13.153,12.649,12.649,12.649,15.620,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA45
45.011,44.011,40.200,38.079,36.000,34.366,30.676,30.150,36.139,27.659,23.537,33.615,25.000,23.707,23.707,23.707,36.770,44.911,35.228,23.345,17.464,14.318,14.318,14.318,14.318,14.318,21.024,26.926,8.000,17.493,27.659,9.849,18.439,5.831,10.050,10.050,10.050,21.401,13.153,12.649,12.649,12.649,15.620,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA46
45.011,44.011,40.200,38.079,36.000,34.366,30.676,30.150,36.139,27.659,23.537,33.615,25.000,23.707,23.707,23.707,36.770,44.911,35.228,23.345,17.464,14.318,14.318,14.318,14.318,14.318,21.024,26.926,8.000,17.493,27.659,9.849,18.439,5.831,10.050,10.050,10.050,21.401,13.153,12.649,12.649,12.649,15.620,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,LTA47
43.566,42.297,38.053,35.128,34.525,32.016,27.295,28.160,33.136,25.000,21.024,29.833,23.770,19.647,19.647,19.647,32.985,42.107,30.414,23.259,15.133,15.000,15.000,15.000,15.000,15.000,17.263,27.295,8.485,13.342,31.385,12.207,12.806,4.243,5.000,5.000,5.000,15.556,7.000,17.205,17.205,17.205,13.416,6.325,6.325,6.325,6.325,0.000,,,,,,,,,,,,,,,,,,,,,,,,,LTA48
68.154,66.708,62.169,58.421,59.203,56.089,50.359,52.631,56.436,49.031,45.354,52.086,48.703,42.297,42.297,42.297,55.036,65.376,50.160,48.332,39.850,39.825,39.825,39.825,39.825,39.825,40.608,7.211,33.121,36.674,22.804,36.056,33.061,29.069,20.881,20.881,20.881,34.015,23.195,21.932,21.932,21.932,11.705,26.401,26.401,26.401,26.401,25.080,0.000,,,,,,,,,,,,,,,,,,,,,,,,LTA49
77.104,76.026,72.007,69.260,68.066,66.030,61.400,62.000,67.268,59.076,55.036,63.789,57.079,53.600,53.600,53.600,66.910,76.236,63.325,55.444,49.010,46.390,46.390,46.390,46.390,46.390,51.352,9.899,40.112,47.381,10.296,41.593,45.354,37.000,31.780,31.780,31.780,47.127,35.440,21.190,21.190,21.190,23.770,32.140,32.140,32.140,32.140,34.132,17.029,0.000,,,,,,,,,,,,,,,,,,,,,,,LTA50
74.330,73.171,69.029,66.068,65.276,63.008,58.138,59.076,64.070,56.000,52.010,60.407,54.332,50.249,50.249,50.249,63.506,73.062,59.666,52.953,46.043,43.932,43.932,43.932,43.932,43.932,48.094,5.657,37.483,44.102,12.166,39.294,41.773,34.132,28.284,28.284,28.284,43.417,31.780,19.723,19.723,19.723,19.925,29.614,29.614,29.614,29.614,31.000,12.806,4.243,0.000,,,,,,,,,,,,,,,,,,,,,,LTA51
