1,73,1,73,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
15,15,11,30,20,24,11,13,18,12,10,20,17,19,13,18,20,12,21,16,15,11,24,16,14,21,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC28
10,14,18,19,23,12,13,11,23,19,15,14,13,18,10,17,25,16,18,15,18,12,14,17,15,13,11,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC29
10,14,18,19,23,12,13,11,23,19,15,14,13,18,10,17,25,16,18,15,18,12,14,17,15,13,11,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC30
17,19,11,25,15,15,11,13,15,18,12,20,18,17,13,13,22,23,25,14,21,15,22,13,12,8,16,17,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC31
10,16,12,21,19,15,11,9,19,13,10,17,15,16,9,16,22,10,16,13,19,12,18,14,14,20,14,14,11,11,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC32
20,25,23,24,21,27,21,22,16,25,20,27,22,27,19,17,28,18,22,27,24,24,29,26,26,25,18,25,22,22,25,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC33
17,20,8,24,21,17,13,10,17,12,13,21,20,13,12,10,20,16,21,15,17,11,20,7,13,13,15,15,16,16,10,15,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC34
16,16,16,27,22,21,15,18,23,19,13,23,23,17,14,19,29,13,24,20,16,18,26,20,17,23,13,18,18,18,20,16,24,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC35
6,18,16,28,26,18,13,12,22,18,14,20,17,21,10,21,27,12,14,17,19,16,21,18,18,23,14,16,14,14,20,11,21,18,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC36
19,23,17,27,26,22,15,14,24,16,17,24,24,21,13,19,27,14,15,16,23,17,22,14,22,25,15,20,18,18,22,15,22,17,22,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC37
18,22,16,27,25,13,18,16,24,18,16,17,12,22,10,15,21,21,26,19,17,14,17,19,15,16,14,19,15,15,17,15,19,15,21,18,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC38
