1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
47.183,43.855,35.504,28.640,21.708,26.120,29.210,33.004,33.004,36.087,41.027,41.027,41.027,21.616,16.140,10.735,9.014,12.298,13.010,13.010,7.649,7.649,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC23
50.619,47.215,38.351,31.004,25.812,30.516,33.560,37.513,37.513,40.512,45.500,45.500,45.500,22.440,14.000,8.016,10.259,16.008,17.529,17.529,12.369,12.369,4.743,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC24
50.619,47.215,38.351,31.004,25.812,30.516,33.560,37.513,37.513,40.512,45.500,45.500,45.500,22.440,14.000,8.016,10.259,16.008,17.529,17.529,12.369,12.369,4.743,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC25
50.619,47.215,38.351,31.004,25.812,30.516,33.560,37.513,37.513,40.512,45.500,45.500,45.500,22.440,14.000,8.016,10.259,16.008,17.529,17.529,12.369,12.369,4.743,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC26
49.591,46.068,35.744,27.573,31.325,37.125,39.462,44.320,44.320,46.349,51.393,51.393,51.393,15.771,4.243,9.341,14.500,22.611,27.281,27.281,25.000,25.000,19.962,17.263,17.263,17.263,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC27
53.115,49.591,39.275,31.101,34.355,40.115,42.547,47.352,47.352,49.490,54.555,54.555,54.555,19.304,6.964,10.404,16.919,25.303,29.703,29.703,26.879,26.879,21.095,17.734,17.734,17.734,3.536,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC28
53.115,49.591,39.275,31.101,34.355,40.115,42.547,47.352,47.352,49.490,54.555,54.555,54.555,19.304,6.964,10.404,16.919,25.303,29.703,29.703,26.879,26.879,21.095,17.734,17.734,17.734,3.536,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC29
56.109,52.586,42.262,34.092,37.165,42.898,45.379,50.152,50.152,52.347,57.422,57.422,57.422,22.290,9.823,12.379,19.474,27.951,32.175,32.175,29.026,29.026,22.804,19.039,19.039,19.039,6.519,3.000,3.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC30
56.109,52.586,42.262,34.092,37.165,42.898,45.379,50.152,50.152,52.347,57.422,57.422,57.422,22.290,9.823,12.379,19.474,27.951,32.175,32.175,29.026,29.026,22.804,19.039,19.039,19.039,6.519,3.000,3.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC31
57.866,54.332,44.112,35.924,37.716,43.342,45.962,50.621,50.621,52.995,58.090,58.090,58.090,24.222,11.011,11.853,19.609,28.151,31.977,31.977,28.306,28.306,21.570,17.414,17.414,17.414,8.732,5.408,5.408,3.354,3.354,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC32
