1,65,1,65,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
20,21,19,18,17,19,17,17,12,18,15,24,24,15,19,11,24,24,17,21,22,21,22,22,16,17,15,22,31,16,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC32
18,17,25,20,22,25,23,22,20,23,22,23,27,15,19,13,22,19,21,22,24,20,16,22,26,21,20,31,34,18,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC33
14,17,17,15,19,19,15,17,18,15,16,24,24,16,16,13,22,20,16,22,22,22,18,17,18,15,13,22,32,12,10,14,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC34
9,14,27,16,15,18,13,12,14,19,16,21,20,25,25,23,17,13,14,21,21,16,11,14,23,15,12,22,33,11,20,22,19,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC35
9,10,24,13,14,13,9,10,13,10,10,18,20,20,20,18,17,15,11,14,15,15,11,13,16,4,9,18,30,9,18,19,18,15,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC36
14,15,25,12,15,15,9,11,11,12,12,17,17,21,21,18,18,17,11,15,13,19,16,14,14,7,7,16,26,10,17,17,22,14,19,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC37
14,17,27,17,19,23,15,16,24,20,15,20,20,23,21,21,15,13,18,16,19,19,12,13,18,20,16,18,31,20,24,29,24,26,16,19,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC38
12,17,25,16,18,19,16,13,15,18,12,22,25,23,23,20,23,19,15,21,23,20,15,18,17,17,14,22,35,17,20,20,19,21,20,15,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC39
12,14,26,14,18,19,13,10,20,19,14,24,26,24,24,22,23,17,14,23,25,25,12,20,23,17,13,25,34,14,20,26,21,21,16,15,17,13,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,LTC40
8,13,19,14,11,12,9,10,9,11,8,14,19,18,18,15,15,15,8,13,13,14,8,10,12,7,6,15,28,8,15,15,18,14,12,7,8,15,11,13,0,,,,,,,,,,,,,,,,,,,,,,,,,LTC41
11,14,20,13,12,14,5,7,9,15,8,21,16,22,22,19,19,16,11,19,18,19,16,14,13,10,5,13,30,9,18,16,26,14,13,11,10,19,16,15,7,0,,,,,,,,,,,,,,,,,,,,,,,,LTC42
12,14,20,11,15,13,13,9,15,10,13,19,23,19,19,18,21,20,11,15,16,21,12,18,14,12,11,20,28,14,18,18,22,17,20,11,10,17,14,13,8,13,0,,,,,,,,,,,,,,,,,,,,,,,LTC43
11,18,26,13,16,19,14,16,12,14,16,19,23,23,23,20,17,17,12,19,19,17,11,15,19,15,13,22,26,13,18,21,20,19,11,14,13,17,18,14,9,15,13,0,,,,,,,,,,,,,,,,,,,,,,LTC44
20,17,21,19,18,24,18,19,18,19,17,25,22,14,16,11,21,22,21,21,21,25,20,23,20,15,18,23,30,16,15,13,14,13,24,16,15,24,20,22,16,17,19,21,0,,,,,,,,,,,,,,,,,,,,,LTC45
16,18,12,18,20,20,18,17,18,20,17,26,26,15,17,14,25,22,18,25,25,23,19,23,21,19,15,25,35,17,12,12,15,12,22,19,19,23,16,19,15,16,17,22,15,0,,,,,,,,,,,,,,,,,,,,LTC46
12,12,24,12,15,17,7,9,9,15,12,21,14,23,23,20,18,17,14,17,19,19,15,16,14,10,8,15,27,11,18,17,21,15,14,10,8,20,16,15,8,6,11,13,16,17,0,,,,,,,,,,,,,,,,,,,LTC47
13,16,20,17,19,13,14,13,12,16,13,16,14,24,24,20,15,12,16,13,12,15,18,11,5,13,9,9,28,14,21,19,26,19,18,17,16,14,15,19,11,9,16,19,20,18,12,0,,,,,,,,,,,,,,,,,,LTC48
19,22,19,20,19,21,17,18,18,19,17,24,27,12,16,9,24,25,17,24,23,26,21,24,19,18,15,23,33,16,11,9,17,13,27,19,16,26,21,22,14,15,17,21,7,12,18,20,0,,,,,,,,,,,,,,,,,LTC49
19,22,15,20,19,21,17,18,18,17,17,24,27,16,12,13,24,25,17,24,23,26,21,24,19,18,15,23,33,16,15,13,21,13,27,19,16,24,21,22,14,15,17,21,9,14,18,20,4,0,,,,,,,,,,,,,,,,LTC50
17,21,18,18,18,20,16,17,17,17,16,22,26,11,15,8,23,24,15,22,22,24,19,22,17,17,14,22,31,15,9,7,15,11,26,17,14,25,19,21,12,14,14,19,8,11,16,19,1,5,0,,,,,,,,,,,,,,,LTC51
18,23,32,23,21,23,23,22,27,24,25,27,33,27,27,25,29,26,21,29,27,29,24,24,25,24,19,28,39,18,22,28,30,22,24,21,21,30,21,21,20,23,23,25,29,26,25,26,26,26,24,0,,,,,,,,,,,,,,LTC52
17,19,17,17,21,21,18,17,19,21,19,28,25,15,19,12,26,23,20,26,27,25,20,24,21,20,15,25,32,18,10,11,16,14,21,21,20,23,21,20,17,15,18,22,10,10,16,17,7,11,8,26,0,,,,,,,,,,,,,LTC53
10,16,21,10,19,15,12,15,14,11,14,22,19,19,19,19,19,19,14,17,18,18,14,15,14,15,13,18,30,14,18,18,22,15,15,12,13,22,17,20,11,11,9,12,19,18,9,15,20,20,17,24,18,0,,,,,,,,,,,,LTC54
13,10,26,12,14,17,6,6,11,20,10,22,15,25,25,23,20,15,14,19,21,20,14,18,18,12,9,18,31,10,22,20,20,19,11,10,12,17,15,11,10,6,14,16,18,17,4,14,20,20,19,26,17,13,0,,,,,,,,,,,LTC55
20,21,32,23,20,26,22,22,24,23,25,19,22,25,25,23,13,19,22,19,18,20,21,18,19,24,21,19,20,20,25,28,27,26,22,24,22,15,26,23,19,23,21,18,24,26,22,19,24,24,23,29,25,24,24,0,,,,,,,,,,LTC56
10,11,21,10,15,14,9,9,15,12,9,20,18,19,19,17,19,15,13,15,16,18,12,12,13,9,9,16,29,11,16,19,21,14,15,7,10,14,13,12,8,8,8,14,15,17,10,11,17,17,15,20,16,9,10,21,0,,,,,,,,,LTC57
13,10,18,11,13,8,8,10,9,10,7,20,16,20,20,19,17,16,12,13,13,15,13,14,12,7,8,14,29,10,19,16,20,17,13,9,11,17,14,15,6,8,10,13,17,14,8,11,18,18,17,25,17,9,8,22,9,0,,,,,,,,LTC58
8,16,20,11,15,10,11,9,11,10,13,13,21,19,19,16,17,14,6,16,15,18,11,15,13,11,6,17,29,9,16,17,20,15,15,11,7,17,12,12,6,9,7,10,18,15,11,13,14,14,12,19,17,12,12,19,11,11,0,,,,,,,LTC59
9,11,22,12,13,15,7,9,13,13,9,17,16,16,16,14,15,15,11,14,15,19,12,12,10,11,8,12,27,9,17,17,20,13,16,9,9,15,11,13,6,6,9,14,13,16,6,10,14,14,12,20,16,9,8,18,6,9,9,0,,,,,,LTC60
9,16,23,14,18,14,11,15,14,12,15,20,20,22,22,20,14,14,12,19,17,17,15,11,17,13,9,15,30,10,17,22,24,16,11,13,13,19,19,17,9,10,16,9,21,20,12,14,20,20,19,23,20,10,15,19,13,10,10,11,0,,,,,LTC61
16,17,24,16,17,15,11,10,13,16,9,22,24,23,23,19,22,20,12,17,20,23,20,21,13,14,12,15,30,15,22,17,26,20,21,15,14,20,14,17,11,12,12,17,21,19,13,14,18,18,16,25,20,16,14,24,13,13,11,12,18,0,,,,LTC62
11,19,23,14,17,15,7,11,12,14,12,24,19,24,24,21,18,18,11,22,23,18,18,14,15,15,8,13,30,14,20,19,28,19,12,16,15,17,18,17,11,6,16,12,23,19,9,12,20,20,19,27,18,11,11,21,14,10,11,11,7,14,0,,,LTC63
14,16,22,17,19,14,13,11,15,16,16,17,16,24,24,21,22,12,10,21,20,15,21,17,16,15,11,17,25,13,19,20,24,18,16,15,16,21,16,17,13,9,15,18,20,18,12,12,19,19,18,23,16,14,12,23,11,13,12,10,14,14,12,0,,LTC64
12,14,25,13,16,21,14,13,15,18,16,17,16,22,22,22,14,19,17,14,20,22,11,19,20,16,14,23,26,15,20,22,20,21,14,14,15,16,16,14,11,15,11,13,20,18,10,18,22,22,20,26,19,12,11,20,13,11,14,10,15,18,16,18,0,LTC65
