1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
40.012,23.770,38.328,12.083,32.388,24.021,25.710,21.840,30.364,38.639,11.045,16.155,14.142,30.529,30.529,30.529,31.016,34.986,9.849,21.401,3.606,9.055,5.831,16.279,43.863,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC26
48.260,30.414,45.398,14.765,40.012,32.140,34.482,30.676,37.336,47.297,19.647,23.087,14.142,36.056,36.056,36.056,39.115,40.497,6.403,26.571,12.207,17.263,13.038,21.190,50.000,8.944,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC27
58.694,40.012,55.036,23.195,50.090,42.579,45.222,41.437,47.011,57.974,30.364,33.061,20.881,44.721,44.721,44.721,49.497,49.031,14.036,35.355,22.825,27.893,23.537,30.150,58.856,19.698,10.770,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC28
54.818,35.228,50.090,18.111,45.706,38.897,42.485,38.949,42.190,54.781,27.785,28.862,15.033,39.115,39.115,39.115,45.607,43.290,9.849,30.000,21.932,25.060,20.591,25.080,53.235,18.385,10.296,7.071,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC29
59.008,41.976,56.886,26.401,51.245,43.012,44.407,40.447,48.836,57.428,30.017,34.525,25.239,47.760,47.760,47.760,50.010,52.202,17.493,38.275,21.213,28.018,24.187,32.894,61.685,19.000,11.705,8.062,14.318,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC30
65.192,47.265,62.290,30.806,57.009,49.092,50.990,47.074,54.231,63.953,36.346,40.050,28.792,52.393,52.393,52.393,56.080,56.754,21.587,42.953,27.893,34.132,30.017,37.656,66.491,25.318,17.000,8.062,15.000,7.211,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC31
65.192,47.265,62.290,30.806,57.009,49.092,50.990,47.074,54.231,63.953,36.346,40.050,28.792,52.393,52.393,52.393,56.080,56.754,21.587,42.953,27.893,34.132,30.017,37.656,66.491,25.318,17.000,8.062,15.000,7.211,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC32
65.192,47.265,62.290,30.806,57.009,49.092,50.990,47.074,54.231,63.953,36.346,40.050,28.792,52.393,52.393,52.393,56.080,56.754,21.587,42.953,27.893,34.132,30.017,37.656,66.491,25.318,17.000,8.062,15.000,7.211,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC33
65.192,47.265,62.290,30.806,57.009,49.092,50.990,47.074,54.231,63.953,36.346,40.050,28.792,52.393,52.393,52.393,56.080,56.754,21.587,42.953,27.893,34.132,30.017,37.656,66.491,25.318,17.000,8.062,15.000,7.211,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC34
20.000,10.198,20.248,19.209,13.416,4.472,7.071,5.099,13.454,18.974,9.000,8.602,23.431,18.028,18.028,18.028,11.180,21.471,26.000,14.318,18.111,11.180,15.524,14.422,27.586,20.025,28.443,39.051,35.847,39.013,45.277,45.277,45.277,45.277,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC35
77.318,59.076,74.108,42.297,69.007,61.205,63.151,59.228,66.068,76.118,48.508,52.000,39.812,63.789,63.789,63.789,68.184,68.066,33.136,54.452,40.025,46.271,42.107,49.254,77.929,37.483,29.069,19.105,25.000,18.974,12.166,12.166,12.166,12.166,57.428,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC36
77.318,59.076,74.108,42.297,69.007,61.205,63.151,59.228,66.068,76.118,48.508,52.000,39.812,63.789,63.789,63.789,68.184,68.066,33.136,54.452,40.025,46.271,42.107,49.254,77.929,37.483,29.069,19.105,25.000,18.974,12.166,12.166,12.166,12.166,57.428,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC37
64.070,47.802,62.586,32.650,56.719,48.260,49.041,45.044,54.571,62.073,35.128,40.262,31.623,53.852,53.852,53.852,55.227,58.310,23.854,44.385,26.019,33.377,29.833,39.000,67.676,24.331,17.889,13.416,20.248,6.403,8.062,8.062,8.062,8.062,44.102,16.401,16.401,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC38
61.000,42.012,57.000,25.020,52.240,44.911,47.760,44.011,49.010,60.440,32.894,35.228,22.361,46.390,46.390,46.390,51.788,50.636,16.031,37.121,25.554,30.364,25.962,32.016,60.531,22.361,13.416,2.828,7.616,10.050,7.810,7.810,7.810,7.810,41.485,17.464,17.464,14.560,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC39
68.007,51.196,66.098,35.468,60.407,52.086,53.151,49.163,58.052,66.189,39.013,43.738,34.000,56.921,56.921,56.921,59.076,61.351,26.401,47.434,30.017,37.121,33.377,42.059,70.880,28.071,20.881,14.142,21.213,9.220,6.708,6.708,6.708,6.708,48.010,12.042,12.042,4.472,14.422,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,LTC40
