LT_A,,,,LT_B,,,,LT_C,,,,ZG_A,,,,,ZG_B,,,,,ZG_C,,,,
,,,,LT_B055,0.8,17,LT_B,,,,,ZG_A2-25,1.7,37,ZG_A,5,ZG_B4-15,3.1,67,ZG_B,5,ZG_C3-13,1.0,34,ZG_C,4
,,,,LT_B060,1.8,56,LT_B,,,,,ZG_A3-2,2.8,55,ZG_A,5,ZG_B4-17,0.7,17,ZG_B,5,ZG_C3-14,2.3,57,ZG_C,5
,,,,LT_B061,0.7,24,LT_B,,,,,ZG_A3-4,0.1,5,ZG_A,3,ZG_B4-18,0.8,18,ZG_B,5,ZG_C3-15,0.3,7,ZG_C,4
,,,,LT_B046,0.9,28,LT_B,,,,,ZG_A3-7,0.6,13,ZG_A,5,ZG_B4-19,2.3,63,ZG_B,5,ZG_C3-16,0.5,10,ZG_C,5
,,,,LT_B048,1.3,32,LT_B,,,,,ZG_A3-8,0.5,10,ZG_A,5,ZG_B4-20,2.4,61,ZG_B,5,ZG_C3-18,1.3,28,ZG_C,5
,,,,LT_B056,0.7,23,LT_B,,,,,ZG_A3-9,0.1,6,ZG_A,5,,,,,,ZG_C4-1,0.1,1,ZG_C,5
,,,,LT_B057,0.2,6,LT_B,,,,,ZG_A3-10,0.2,6,ZG_A,5,,,,,,ZG_C4-2,0.1,1,ZG_C,5
,,,,,,,,,,,,ZG_A3-11,0.1,2,ZG_A,5,,,,,,ZG_C4-3,3.1,92,ZG_C,5
,,,,,,,,,,,,ZG_A3-13,1.9,46,ZG_A,5,,,,,,ZG_C4-4,0.8,12,ZG_C,5
,,,,,,,,,,,,ZG_A3-14,1,35,ZG_A,5,,,,,,ZG_C4-6,1.8,53,ZG_C,5
,,,,,,,,,,,,ZG_A3-15,1.9,33,ZG_A,5,,,,,,ZG_C4-7,0.6,11,ZG_C,5
,,,,,,,,,,,,ZG_A3-16,1.5,29,ZG_A,5,,,,,,ZG_C4-8,2.1,47,ZG_C,5
,,,,,,,,,,,,ZG_A3-17,0.6,9,ZG_A,5,,,,,,ZG_C4-12,4.4,62,ZG_C,5
,,,,,,,,,,,,ZG_A3-18,0.1,1,ZG_A,5,,,,,,ZG_C4-14,1.3,22,ZG_C,5
,,,,,,,,,,,,ZG_A3-20,0.1,5,ZG_A,5,,,,,,ZG_C4-15,2.0,72,ZG_C,5
,,,,,,,,,,,,ZG_A3-21,0.3,3,ZG_A,5,,,,,,ZG_C4-16,0.1,1,ZG_C,5
,,,,,,,,,,,,ZG_A4-1,0.1,3,ZG_A,5,,,,,,,,,,
,,,,,,,,,,,,ZG_A4-3,4.2,55,ZG_A,5,,,,,,,,,,
