14,68,1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTB43,LTB,274,274,401,405,335,335,370,358,357,357,348,348,217,232,217,232,220,223,409,400,345,372,164,164,392,398,350,359,,69,7
LTB44,LTB,274,274,403,403,335,338,0,0,357,357,342,345,217,232,220,226,220,220,400,403,345,372,164,167,383,392,350,353,,37,24
LTB45,LTB,274,274,403,407,335,335,370,358,348,357,330,342,217,211,226,229,223,223,403,409,345,372,173,176,389,392,350,350,,74,15
LTB46,LTB,274,274,405,405,335,335,0,0,357,363,342,342,217,211,217,229,220,223,400,403,345,372,164,164,383,392,350,359,,74,15
LTB47,LTB,274,274,405,405,335,335,370,358,351,357,330,342,232,211,220,229,223,223,400,409,345,372,164,164,383,392,350,353,,74,15
LTB48,LTB,274,278,403,407,335,335,370,358,351,357,342,342,214,229,223,226,211,211,403,409,345,372,164,176,389,392,350,365,,84,16
LTB49,LTB,274,274,405,405,335,335,370,358,357,363,342,342,217,232,217,229,223,223,403,409,345,372,164,179,377,392,350,359,,71,28
LTB50,LTB,274,274,401,403,335,335,370,358,357,357,342,342,229,211,220,226,217,220,400,403,345,372,164,176,392,392,350,350,,96,3
LTB51,LTB,274,278,401,403,335,335,370,358,351,357,342,342,214,223,217,217,202,220,400,409,372,378,164,164,392,392,350,359,,96,3
LTB52,LTB,272,276,401,405,335,335,370,358,351,357,342,342,223,229,223,226,220,220,400,409,345,372,164,164,380,392,350,350,,96,3
LTB53,LTB,274,274,401,403,335,335,370,358,357,357,342,342,226,232,226,253,214,223,400,403,345,372,164,179,392,392,350,359,,89,4
LTB54,LTB,274,278,405,413,335,335,370,358,351,357,342,342,217,226,214,226,214,223,403,409,342,372,176,164,383,392,353,359,,84,9
LTB55,LTB,274,274,401,405,335,335,370,358,357,357,342,351,217,226,226,226,214,214,403,409,345,372,164,179,392,392,350,359,,66,3
LTB56,LTB,274,274,405,405,335,338,370,358,357,357,342,342,217,232,217,226,223,223,406,409,345,372,164,179,386,392,350,350,,74,5
LTB57,LTB,272,274,401,405,335,335,370,358,357,357,342,342,217,226,217,226,220,229,400,400,372,378,164,176,392,392,350,359,,94,8
LTB58,LTB,272,274,401,405,335,335,370,358,357,357,342,342,214,211,217,226,202,202,400,400,372,378,164,176,392,392,350,359,,94,8
LTB59,LTB,272,274,405,405,335,335,370,358,357,357,342,342,214,211,223,226,202,217,403,409,345,372,164,179,392,392,350,350,,94,8
LTB60,LTB,274,274,405,405,335,335,370,358,357,357,330,342,217,211,226,232,223,223,409,409,345,372,164,164,389,392,350,350,,91,13
LTB61,LTB,276,276,403,405,335,335,370,358,357,357,330,348,217,232,226,226,214,229,400,400,345,372,164,176,389,398,350,365,,46,25
LTB62,LTB,274,274,401,403,335,338,0,0,357,357,330,342,226,232,217,223,214,229,403,403,345,372,164,164,383,392,350,350,,67,23
LTB63,LTB,274,274,405,405,335,335,370,358,357,357,342,342,217,226,217,229,220,223,400,403,345,372,164,176,392,395,350,350,,96,25
LTB64,LTB,274,274,403,405,335,335,370,358,351,357,348,348,217,226,214,217,214,214,403,409,345,372,164,164,392,392,350,359,,91,21
LTB65,LTB,274,274,403,405,335,335,370,358,357,357,342,342,232,238,226,253,223,223,400,409,345,372,176,179,392,392,350,350,,51,21
LTB66,LTB,274,274,405,405,335,335,370,358,357,357,342,360,217,226,214,226,220,223,400,409,345,372,164,179,389,392,350,359,,79,5
LTB67,LTB,274,274,405,405,335,338,370,358,357,363,342,342,226,232,226,253,214,220,406,409,345,372,164,176,383,392,350,359,,86,6
LTB68,LTB,274,274,401,403,335,338,370,358,357,357,342,342,217,232,217,226,214,220,400,403,345,372,164,176,392,392,350,359,,83,2
