1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
48.332,44.283,44.272,42.544,39.000,39.850,36.346,36.346,35.903,33.615,28.862,36.878,30.017,33.015,33.242,29.017,36.620,19.105,17.464,25.298,22.023,5.000,5.000,27.459,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB25
31.016,26.926,27.459,25.298,21.840,23.195,21.378,21.378,20.025,16.492,13.153,19.849,12.530,20.591,16.643,16.125,19.209,8.062,13.601,9.055,8.062,21.932,21.932,14.000,17.493,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB26
37.216,33.287,32.696,31.385,27.785,28.231,24.331,24.331,24.042,22.472,17.088,28.018,19.799,21.095,25.060,17.000,26.907,7.071,17.889,13.892,16.125,17.029,17.029,22.204,12.042,8.544,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB27
25.179,21.095,23.195,20.000,17.117,19.647,20.809,20.809,18.358,12.649,13.454,11.402,7.280,22.804,7.810,18.868,11.705,15.000,15.000,10.296,5.000,29.411,29.411,7.211,25.495,8.944,17.464,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB28
55.362,51.245,51.971,49.729,46.325,47.676,45.011,45.011,44.181,41.000,37.121,42.059,36.688,42.297,38.079,38.118,42.544,28.071,18.385,33.242,26.420,5.657,5.657,30.610,9.849,24.515,21.213,30.871,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB29
25.710,21.587,23.000,20.224,17.029,19.105,19.235,19.235,17.088,12.042,11.402,13.454,7.071,20.518,10.296,16.401,13.038,12.000,15.297,7.810,5.831,27.785,27.785,9.849,23.601,6.403,14.765,3.000,29.732,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB30
43.463,39.395,39.560,37.696,34.176,35.171,32.062,32.062,31.401,28.792,24.331,31.890,25.060,29.275,28.284,25.080,31.623,15.033,14.000,20.616,17.205,9.487,9.487,22.825,5.000,12.530,8.246,20.518,13.038,18.601,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB31
30.067,26.173,29.120,25.495,23.087,26.000,27.803,27.803,25.239,19.235,20.518,14.142,13.892,29.833,10.050,25.807,16.031,20.616,11.180,17.205,5.000,29.069,29.069,1.414,26.077,13.038,21.095,7.071,29.206,9.434,21.471,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB32
48.052,43.932,45.177,42.579,39.319,41.049,39.319,39.319,38.053,34.132,31.145,34.015,29.428,37.643,29.967,33.242,34.785,23.409,9.899,27.074,18.385,10.198,10.198,22.204,10.440,18.028,17.493,23.087,8.485,22.361,9.899,20.809,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB33
60.133,56.080,58.034,55.009,52.010,54.148,53.151,53.151,51.624,47.096,44.911,44.721,42.012,51.865,40.608,47.434,46.271,37.696,20.025,40.792,30.017,19.416,19.416,31.780,22.627,31.780,31.765,35.014,13.892,35.057,23.854,30.594,14.318,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB34
56.036,52.010,54.148,51.010,48.094,50.359,49.729,49.729,48.052,43.290,41.485,40.447,38.118,48.847,36.346,44.385,42.107,34.886,16.031,37.363,26.019,19.313,19.313,27.459,21.633,28.460,29.411,31.016,14.318,31.257,21.932,26.306,12.042,4.472,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB35
65.765,61.660,63.127,60.407,57.219,59.034,57.219,57.219,56.036,52.086,49.092,50.961,47.265,55.109,46.840,50.804,52.173,40.792,25.962,45.044,35.693,18.868,18.868,38.275,23.259,36.014,34.205,40.608,13.416,40.200,25.962,37.000,18.000,7.810,12.042,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB36
79.057,75.027,77.058,74.000,71.028,73.171,72.007,72.007,70.576,66.121,63.789,63.388,61.033,70.342,59.304,65.970,65.123,56.045,39.000,59.682,49.000,34.482,34.482,50.359,38.910,50.636,49.649,54.000,29.069,54.083,41.437,49.254,32.757,19.026,23.022,15.652,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB37
