14,53,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ25,,CMJ26,,CMJ43,,CMJ65,,CMJ68,,CMJ77,,CMJ116,,CMJ123,,CMJ134,,CMJ206,,CMJ214,,CMJ230,,CMJ231,,CMJ241,,,X,Y
ZGB42,ZGB,276,278,421,421,335,335,364,364,357,357,342,342,242,242,208,214,215,224,400,403,345,351,170,182,392,392,350,350,,86,15
ZGB43,ZGB,278,278,421,427,335,335,364,364,351,357,339,342,233,242,208,208,215,221,400,412,345,372,170,170,392,392,350,350,,96,12
ZGB44,ZGB,278,282,421,427,338,335,364,364,357,363,342,348,233,242,220,223,215,221,409,403,342,345,182,182,377,392,350,359,,94,14
ZGB45,ZGB,278,278,423,423,335,335,364,364,351,363,342,348,233,248,223,223,221,224,400,409,345,372,170,170,392,392,350,353,,97,16
ZGB46,ZGB,278,278,423,423,335,335,364,364,351,357,342,348,233,242,217,217,215,224,400,409,345,372,182,185,383,398,350,356,,78.5,18
ZGB47,ZGB,276,280,421,421,335,335,364,364,357,357,342,345,230,233,208,208,221,224,409,409,345,351,170,170,389,398,350,350,,97,21
ZGB48,ZGB,278,278,421,421,335,335,364,364,357,357,339,342,233,248,0,0,0,0,400,409,345,372,170,170,392,392,350,350,,82,19
ZGB49,ZGB,278,278,423,439,335,335,373,373,357,357,342,342,242,242,208,217,215,224,403,403,345,372,170,182,392,401,350,350,,82,19
ZGB50,ZGB,278,278,425,425,335,335,364,364,357,357,339,342,242,248,217,217,224,224,400,409,345,372,170,170,392,392,350,359,,82,19
ZGB51,ZGB,278,278,421,427,335,335,364,379,357,363,330,342,248,248,211,217,215,221,403,403,345,372,170,170,392,401,350,350,,82,19
ZGB52,ZGB,278,278,419,424,335,335,364,364,357,369,342,348,248,248,208,220,221,224,400,409,345,372,170,182,392,392,350,350,,77,19
ZGB53,ZGB,278,278,421,421,335,338,364,364,357,357,342,345,248,248,217,217,0,0,400,409,345,372,170,182,392,392,350,353,,77,24
