1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
84.024,78.746,72.007,66.121,73.335,72.691,75.954,72.367,72.993,84.097,84.097,84.097,84.097,86.001,72.780,70.401,68.680,44.643,38.118,37.162,31.241,27.536,14.773,13.537,8.732,8.732,8.732,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB28
86.000,80.703,74.007,68.029,75.166,74.431,77.647,73.980,74.673,85.873,85.873,85.873,85.873,87.626,74.330,71.626,70.093,46.098,40.012,38.275,31.113,26.912,16.008,15.532,10.500,10.500,10.500,2.828,0.000,,,,,,,,,,,,,,,,,,,,,,,,,ZGB29
92.067,86.745,80.126,74.015,81.014,80.126,83.254,79.456,80.264,91.611,91.611,91.611,91.611,93.094,79.695,76.400,75.221,51.413,46.068,43.061,33.560,28.364,21.506,21.966,16.867,16.867,16.867,9.708,6.946,0.000,,,,,,,,,,,,,,,,,,,,,,,,ZGB30
95.564,90.243,83.621,77.515,84.513,83.621,86.744,82.937,83.753,95.107,95.107,95.107,95.107,96.573,83.165,79.795,78.667,54.886,49.563,46.481,36.531,31.101,25.005,25.402,20.304,20.304,20.304,12.748,10.124,3.500,0.000,,,,,,,,,,,,,,,,,,,,,,,ZGB31
95.564,90.243,83.621,77.515,84.513,83.621,86.744,82.937,83.753,95.107,95.107,95.107,95.107,96.573,83.165,79.795,78.667,54.886,49.563,46.481,36.531,31.101,25.005,25.402,20.304,20.304,20.304,12.748,10.124,3.500,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,ZGB32
95.564,90.243,83.621,77.515,84.513,83.621,86.744,82.937,83.753,95.107,95.107,95.107,95.107,96.573,83.165,79.795,78.667,54.886,49.563,46.481,36.531,31.101,25.005,25.402,20.304,20.304,20.304,12.748,10.124,3.500,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,ZGB33
92.229,86.894,80.351,74.137,81.014,80.014,83.074,79.191,80.077,91.512,91.512,91.512,91.512,92.804,79.355,75.710,74.741,51.120,46.328,42.500,32.004,26.505,21.645,22.771,17.734,17.734,17.734,11.673,8.846,3.000,4.610,4.610,4.610,0.000,,,,,,,,,,,,,,,,,,,,ZGB34
86.977,81.632,75.313,68.884,75.425,74.169,77.058,73.007,74.061,85.646,85.646,85.646,85.646,86.506,73.007,68.660,68.118,45.100,41.761,36.000,23.770,17.923,17.923,20.887,16.711,16.711,16.711,15.133,13.000,11.236,13.435,13.435,13.435,8.846,0.000,,,,,,,,,,,,,,,,,,,ZGB35
82.098,76.771,70.178,64.031,71.007,70.114,73.246,69.462,70.257,81.598,81.598,81.598,81.598,83.104,69.721,66.620,65.307,41.437,36.125,33.242,25.456,21.360,11.500,12.540,7.632,7.632,7.632,6.325,5.657,10.012,13.509,13.509,13.509,10.308,9.849,0.000,,,,,,,,,,,,,,,,,,ZGB36
82.098,76.771,70.178,64.031,71.007,70.114,73.246,69.462,70.257,81.598,81.598,81.598,81.598,83.104,69.721,66.620,65.307,41.437,36.125,33.242,25.456,21.360,11.500,12.540,7.632,7.632,7.632,6.325,5.657,10.012,13.509,13.509,13.509,10.308,9.849,0.000,0.000,,,,,,,,,,,,,,,,,ZGB37
