1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
8.016,8.737,14.603,18.500,10.920,11.500,8.732,13.124,11.673,0.000,0.000,0.000,0.000,6.083,13.865,22.727,19.679,40.549,46.035,49.752,65.025,71.386,70.114,70.576,75.425,75.425,75.425,84.097,85.873,91.611,95.107,95.107,95.107,91.512,85.646,81.598,81.598,81.598,72.062,76.236,81.653,81.653,91.522,89.589,92.694,74.431,93.152,78.021,78.021,78.021,78.021,73.056,73.839,ZGB10
8.016,8.737,14.603,18.500,10.920,11.500,8.732,13.124,11.673,0.000,0.000,0.000,0.000,6.083,13.865,22.727,19.679,40.549,46.035,49.752,65.025,71.386,70.114,70.576,75.425,75.425,75.425,84.097,85.873,91.611,95.107,95.107,95.107,91.512,85.646,81.598,81.598,81.598,72.062,76.236,81.653,81.653,91.522,89.589,92.694,74.431,93.152,78.021,78.021,78.021,78.021,73.056,73.839,ZGB11
8.016,8.737,14.603,18.500,10.920,11.500,8.732,13.124,11.673,0.000,0.000,0.000,0.000,6.083,13.865,22.727,19.679,40.549,46.035,49.752,65.025,71.386,70.114,70.576,75.425,75.425,75.425,84.097,85.873,91.611,95.107,95.107,95.107,91.512,85.646,81.598,81.598,81.598,72.062,76.236,81.653,81.653,91.522,89.589,92.694,74.431,93.152,78.021,78.021,78.021,78.021,73.056,73.839,ZGB12
8.016,8.737,14.603,18.500,10.920,11.500,8.732,13.124,11.673,0.000,0.000,0.000,0.000,6.083,13.865,22.727,19.679,40.549,46.035,49.752,65.025,71.386,70.114,70.576,75.425,75.425,75.425,84.097,85.873,91.611,95.107,95.107,95.107,91.512,85.646,81.598,81.598,81.598,72.062,76.236,81.653,81.653,91.522,89.589,92.694,74.431,93.152,78.021,78.021,78.021,78.021,73.056,73.839,ZGB13
14.009,14.510,19.526,22.051,14.603,13.865,10.308,13.647,13.124,6.083,6.083,6.083,6.083,0.000,13.500,20.359,18.742,41.692,48.283,50.510,64.994,71.449,71.701,72.567,77.279,77.279,77.279,86.001,87.626,93.094,96.573,96.573,96.573,92.804,86.506,83.104,83.104,83.104,73.062,77.000,82.506,82.506,92.586,90.522,93.500,75.027,93.634,78.557,78.557,78.557,78.557,73.561,73.934,ZGB14
19.105,15.368,15.033,13.000,9.220,6.083,5.657,2.000,4.123,13.865,13.865,13.865,13.865,13.500,0.000,9.862,5.831,28.284,35.468,37.014,51.624,58.054,58.363,59.424,64.049,64.049,64.049,72.780,74.330,79.695,83.165,83.165,83.165,79.355,73.007,69.721,69.721,69.721,59.576,63.500,69.007,69.007,79.101,77.026,80.000,61.533,80.156,65.069,65.069,65.069,65.069,60.075,60.531,ZGB15
28.814,25.230,24.254,20.500,18.848,15.692,15.403,11.630,13.865,22.727,22.727,22.727,22.727,20.359,9.862,0.000,5.500,26.177,35.302,33.380,46.003,52.502,55.664,57.520,61.745,61.745,61.745,70.401,71.626,76.400,79.795,79.795,79.795,75.710,68.660,66.620,66.620,66.620,55.700,59.114,64.701,64.701,75.048,72.762,75.480,56.873,75.082,60.252,60.252,60.252,60.252,55.274,55.002,ZGB16
24.759,20.663,18.974,15.000,13.892,10.817,11.402,7.071,9.220,19.679,19.679,19.679,19.679,18.742,5.831,5.500,0.000,24.042,32.249,32.249,46.271,52.738,54.086,55.500,59.960,59.960,59.960,68.680,70.093,75.221,78.667,78.667,78.667,74.741,68.118,65.307,65.307,65.307,54.829,58.577,64.125,64.125,74.330,72.173,75.060,56.509,75.027,60.000,60.000,60.000,60.000,55.000,55.227,ZGB17
42.202,36.891,31.016,24.352,30.414,29.069,32.000,28.071,29.000,40.549,40.549,40.549,40.549,41.692,28.284,26.177,24.042,0.000,10.296,9.487,25.942,31.847,30.104,31.484,35.920,35.920,35.920,44.643,46.098,51.413,54.886,54.886,54.886,51.120,45.100,41.437,41.437,41.437,31.516,35.725,41.110,41.110,51.000,49.041,52.154,34.033,52.773,37.656,37.656,37.656,37.656,32.757,34.176,ZGB18
46.011,40.701,34.059,28.018,35.228,34.713,38.079,34.785,35.171,46.035,46.035,46.035,46.035,48.283,35.468,35.302,32.249,10.296,0.000,12.649,27.659,32.268,24.683,24.581,29.517,29.517,29.517,38.118,40.012,46.068,49.563,49.563,49.563,46.328,41.761,36.125,36.125,36.125,28.324,33.155,37.947,37.947,46.872,45.354,48.765,32.206,50.329,35.777,35.777,35.777,35.777,31.385,34.205,ZGB19
